"date","total_cases","new_cases","total_deaths","new_deaths","total_vaccinations","lethality","country"
2021-01-01,0.456327890353886,0.00209072483788045,0.00743823199472159,3.46221279169933e-05,0.123459438425647,7.58711633648856e-05,"Asia"
2021-01-01,2.13568028100819,0.0312765963845458,0.017593085466307,0.000375920629621944,0.186080711662862,0.000176019150883616,"Estonia"
2021-01-01,2.18145124300523,0.0372704994299343,0.0337583707916705,0.000471778473796637,0.12250514369586,0.000216268172533942,"Latvia"
2021-01-01,3.12613751835251,0.0112299633932184,0.0989454019001293,0.000253316320234682,0.0096012315262109,8.1031726450787e-05,"South America"
2021-01-01,3.2176214488733,0.028077912868936,0.0736178575413309,0.000506819597303093,0.207932955229569,0.000157513742793007,"Europe"
2021-01-01,3.48562589866407,0.0204335915954948,0.0947991189030752,0.000295891607620643,0.0492545722223901,8.48890891400735e-05,"Chile"
2021-01-01,3.93612910140067,0.0313765296457074,0.0870907123782216,0.000500256440095516,0.493575830214268,0.000127093504102165,"North America"
2021-01-01,5.88241994071546,0.0853294961952916,0.129465442503201,0.00147119821026365,0.548994222462254,0.000250100847115773,"Slovenia"
2021-01-02,0.457442376432268,0.00111448607838185,0.00745748356426632,1.92515695447246e-05,0.12506258108589,4.20852341990557e-05,"Asia"
2021-01-02,2.16447580123723,0.0287955202290409,0.0181193743477777,0.000526288881470722,0.188336235440594,0.000243148424745563,"Estonia"
2021-01-02,2.19791106975769,0.0164598267524605,0.0350164467217949,0.00125807593012437,0.122609983356704,0.000572396193565313,"Latvia"
2021-01-02,3.13541484494735,0.00927732659483906,0.0991569316512292,0.000211529751099977,0.0096012315262109,6.74646774224638e-05,"South America"
2021-01-02,3.23893319284396,0.0213117439706554,0.0739972688814214,0.000379411340090499,0.321819860425929,0.000117140835423455,"Europe"
2021-01-02,3.50461986378402,0.0189939651199559,0.0951632931893775,0.00036417428630233,0.0492545722223901,0.000103912635451744,"Chile"
2021-01-02,3.98902526852683,0.0528961671261577,0.0876088652687559,0.000518152890534303,0.736040655116587,0.000129894612255906,"North America"
2021-01-02,5.90107093738106,0.0186509966656004,0.131648510815205,0.00218306831200412,0.568167257202464,0.000369944427913111,"Slovenia"
2021-01-03,0.458969762631489,0.00152738619922092,0.00748304999944758,2.5566435181263e-05,0.128389090046254,5.57039641014227e-05,"Asia"
2021-01-03,2.19018877230337,0.025712971066141,0.0183449267255509,0.000225552377773166,0.189689549707233,0.00010298307644777,"Estonia"
2021-01-03,2.2276855334373,0.02977446367961,0.035645484686857,0.000629037965062183,0.122819662678391,0.000282372873379297,"Latvia"
2021-01-03,3.14478778487834,0.00937293993099475,0.0993632675914763,0.000206335940247076,0.0096012315262109,6.56120394639151e-05,"South America"
2021-01-03,3.26146355459338,0.0225303617494207,0.0743957043776888,0.000398435496267353,0.383514930961605,0.000122164632410565,"Europe"
2021-01-03,3.51764478474255,0.0130249209585318,0.0954079727879869,0.000244679598609378,0.0492545722223901,6.95577903916427e-05,"Chile"
2021-01-03,4.02655834595791,0.0375330774310881,0.0879470406482737,0.000338175379517826,0.737341017958847,8.3986211166493e-05,"North America"
2021-01-03,5.9363322364206,0.0352612990395449,0.133024793011903,0.00137628219669825,0.594364076946514,0.000231840493740307,"Slovenia"
2021-01-04,0.460552228492095,0.00158246586060629,0.00750648955279987,2.343955335229e-05,0.131783154912959,5.0894452142885e-05,"Asia"
2021-01-04,2.21951058141388,0.0293218091105116,0.0188712156070216,0.000526288881470722,0.237957758550691,0.000237119338775787,"Estonia"
2021-01-04,2.26023824812927,0.032552714691968,0.0362745226519192,0.000629037965062183,0.159880482786638,0.000278306043879586,"Latvia"
2021-01-04,3.15553094654526,0.0107431616669147,0.0996335818381387,0.000270314246662359,0.0114877652773715,8.56636335505773e-05,"South America"
2021-01-04,3.28873548631049,0.0272719317171053,0.0749613380916231,0.000565633713934353,0.420687596239455,0.000171991245963328,"Europe"
2021-01-04,3.53158583164007,0.0139410468975111,0.0954079727879869,0,0.051559112627897,0,"Chile"
2021-01-04,4.06166999987775,0.0351116539198326,0.0884530374592647,0.000505996810990976,0.801526299788679,0.000124578513519367,"North America"
2021-01-04,5.97296981765685,0.0366375812362431,0.134685823249298,0.00166103023739444,0.645903472312524,0.000278091182125888,"Slovenia"
2021-01-05,0.462361064744478,0.00180883625238275,0.00753343736483913,2.69478120392557e-05,0.152735243223106,5.82830478040973e-05,"Asia"
2021-01-05,2.25176457143545,0.0322539900215628,0.0193975044884923,0.000526288881470722,0.374116210599759,0.000233722871452421,"Estonia"
2021-01-05,2.30343218839687,0.0431939402676032,0.0378471175645747,0.00157259491265546,0.206901070675036,0.000682718128442037,"Latvia"
2021-01-05,3.17780436830561,0.0222734217603554,0.100076708336816,0.000443126498677073,0.0118284320528595,0.000139444234861237,"South America"
2021-01-05,3.32568106747059,0.0369455811601048,0.0758414062741989,0.000880068182575738,0.463604350926337,0.000264627955814503,"Europe"
2021-01-05,3.54558378076981,0.0139979491297458,0.0955274674756798,0.000119494687692952,0.0597701047393699,3.37024013763419e-05,"Chile"
2021-01-05,4.1050476190526,0.0433776191748567,0.0892968719808973,0.000843834521632599,0.851323510803479,0.000205560227295815,"North America"
2021-01-05,6.09218433069498,0.119214513038138,0.136109563452779,0.00142374020348095,0.762745085011527,0.000233699462491236,"Slovenia"
2021-01-06,0.464281397843256,0.00192033309877788,0.00755685499157462,2.34176267354964e-05,0.158147740872123,5.04384342002054e-05,"Asia"
